warID,warName,warDescription,startDate,endDate,prevWarID,nextWarID
Q42410592,Nagorno-Karabakh War,Civil War for Local Issue between 1991 to 1993,1991-01-01,1993-01-01,,
Q42306431,Second Guatemala War,Civil War for Capital between 1970 and 1971,1970-01-01,1971-01-01,,
Q10292592,War in Ingushetia,,2007-07-21,2015-05-19,,
Q2609193,Guinea-Bissau War of Independence,1963-1974 armed conflict in Portuguese Guinea,1963-01-23,1974-09-10,,
Q1773984,Batalla del pan dulce,Batalla entre pacistas y ateos,1950-10-06,1950-10-19,,
Q10360270,Bougainville Civil War,Armed conflict in the North Solomons,1988-12-01,1998-04-20,,
Q42410504,Indonesian Leftists War,Civil War for Capital between 1956 to 1962,1956-01-01,1962-01-01,,
Q42410697,Second Rwanda War,Civil War for Capital in 1994,1994-01-01,1994-01-01,,
Q1050999,Turkish invasion of Cyprus,1974 military conflict in Cyprus,1974-07-20,1974-08-18,,
Q42306419,Third Guatemala War,Civil War for capital between 1978 and 1984,1978-01-01,1984-01-01,,
Q15353665,South Sudanese conflict,conflict in South Sudan between government and opposition forces; began on 14 December 2013,2013-12-15,,,
Q42410581,Georgia War,Civil War for Capital between 1991 to 1992,1991-01-01,1992-01-01,,
Q107802,2003 invasion of Iraq,military invasion led by the United States,2003-03-20,2003-05-01,,
Q17183365,Sectarian violence in Iraq (2006–2008),"high level of sectarian violence, by some described as a civil war",2006-02-22,2008-01-01,,
Q42410546,First Guatemala War,Civil War for Capital between 1966 to 1968,1966-01-01,1968-01-01,,
Q1780216,Angolan War of Independence,conflict in Angola between 1961 and 1975,1961-02-04,1974-04-25,,Q12055176
Q42410622,Dniestrian Independence War,Civil War for Local Issue between 1991 to 1992,1991-01-01,1992-01-01,,
Q42410643,Algerian Islamic Front War,Civil War for Capital between 1992 to 1999,1991-01-01,1999-01-01,,
Q3119017,Ugandan Bush War,"guerrilla war waged between 1981 and 1986 in Uganda by the National Resistance Army (NRA) under the leadership of Yoweri Museveni against the government of Milton Obote, and later that of Tito Okello",1981-02-06,1986-01-25,,
Q16118002,Palestinian separation,,2006-01-01,2007-01-01,,
Q2946372,Northern Mali conflict,armed conflicts that started from January 2012,2012-01-16,2015-02-20,,
Q16974363,Eastern Theater of Eelam War IV,,2006-07-21,2007-07-11,,
Q11050383,Eelam War II,second phase of the Sri Lankan civil war from 1990-1995,1990-06-10,1995-01-09,,
Q501866,1983 Invasion of Grenada,conflict in Grenada involving US and Cuban led forces,1983-10-25,1983-12-15,,
Q2002975,Nepalese Civil War,civil war in Nepal between 1996 and 2006,1996-02-13,2006-11-21,,
Q11154636,Eelam War III,third phase of the Sri Lankan civil war from 1995-2002,1995-04-19,2002-02-22,,
Q2583734,Indonesian invasion of East Timor,military invasion,1975-12-07,1979-03-26,,
Q18920712,War in Afghanistan (2015–),period of the war starting 1 January 2015,2015-01-01,,Q182865,
Q2444955,Rhodesian Bush War,civil conflict in Southern Africa from 1964 to 1979,1964-07-04,1979-12-12,,
Q3434218,Costa Rican Civil War,"conflict in Costa Rica (12 March – 24 April 1948), precipitated by the vote of the Legislature to annul the results of the presidential elections held in February, causing a rebel army under commander José Figueres to overthrow the government",1948-03-12,1948-04-24,,
Q200790,Algerian War of Independence,war between France and the Algerian independence movement from 1954 to 1962,1954-11-01,1962-09-09,Q2629782,
Q48941560,Chechen Civil War,,1993-06-04,1994-12-11,,
Q16911838,Libyan civil war (2014–present),conflict among rival groups seeking to control of the territory of Libya,2014-05-16,,,
Q12055176,Angolan Civil War,armed conflict in Angola between 1975 and 2002,1975-11-11,2002-04-04,Q1780216,
Q42410520,First Rwanda War,Civil War for Capital between 1963 to 1964,1963-01-01,1964-01-01,,
Q42306428,First Burundi War,Civil War for capital in 1972,1972-01-01,1972-01-01,,
Q42410655,Second Liberia War,Civil War for Capital between 1992 to 1995,1992-01-01,1995-01-01,,
